                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5987,                 4.5618,                  4.019,                0.58995,                0.01326,                0.01018,                 0.0033,                 3.5363,                 4.5572,                 4.0774,             0.00015029,             0.00015029,             0.00015029
                      2,                 2.8086,                 3.5428,                 3.2468,                0.33302,                0.10288,                0.04603,                0.02301,                 2.4973,                 4.0064,                 3.0699,             0.00030188,             0.00030188,             0.00030188
                      3,                 2.2386,                 2.9853,                 2.6182,                0.48923,                0.11827,                0.07481,                0.04152,                  2.053,                  3.314,                 2.4907,             0.00045318,             0.00045318,             0.00045318
                      4,                 1.8497,                 2.5093,                 2.1934,                0.40338,                0.16177,                0.13346,                0.07478,                 1.8863,                 2.5926,                 2.2627,               0.000454,               0.000454,               0.000454
                      5,                 1.6336,                 2.2365,                 1.9652,                0.55826,                0.18921,                0.17502,                0.11207,                  1.648,                 2.4365,                 1.9927,             0.00045322,             0.00045322,             0.00045322
                      6,                 1.4637,                 1.9391,                 1.7656,                0.41835,                0.23862,                0.20327,                0.13101,                 1.5666,                 2.3207,                 1.9052,             0.00045223,             0.00045223,             0.00045223
                      7,                 1.3821,                 1.7767,                 1.6716,                0.39949,                0.28956,                0.27004,                   0.18,                 1.5001,                 2.0363,                 1.8406,             0.00045101,             0.00045101,             0.00045101
                      8,                 1.2924,                 1.6055,                 1.5828,                0.45835,                0.27325,                0.27233,                0.18074,                 1.4567,                 2.0507,                 1.7761,             0.00044958,             0.00044958,             0.00044958
                      9,                 1.2216,                 1.4864,                 1.5046,                0.36558,                0.29728,                0.27214,                0.18416,                 1.4352,                 2.0341,                 1.7511,             0.00044792,             0.00044792,             0.00044792
                     10,                 1.1735,                 1.4039,                 1.4529,                0.43496,                0.33259,                0.30391,                0.20813,                 1.3764,                 1.9753,                 1.6638,             0.00044606,             0.00044606,             0.00044606
                     11,                 1.1224,                 1.3153,                 1.4186,                0.40284,                0.35258,                0.31515,                0.22165,                 1.3263,                 1.8983,                 1.6306,             0.00044398,             0.00044398,             0.00044398
                     12,                 1.0735,                 1.2307,                 1.3598,                0.35452,                0.32856,                0.30842,                0.21322,                 1.3731,                 1.8424,                 1.6474,             0.00044168,             0.00044168,             0.00044168
                     13,                 1.0618,                 1.1969,                 1.3613,                0.35288,                0.37355,                 0.3322,                0.23401,                 1.3108,                 1.8137,                 1.5887,             0.00043918,             0.00043918,             0.00043918
                     14,                  1.041,                 1.1565,                 1.3324,                0.43048,                0.33961,                0.35462,                0.25381,                 1.2704,                 1.8016,                 1.5685,             0.00043648,             0.00043648,             0.00043648
                     15,                0.99903,                 1.0817,                 1.3128,                0.47804,                0.34653,                0.36155,                0.25938,                 1.2822,                 1.8095,                 1.5754,             0.00043356,             0.00043356,             0.00043356
                     16,                0.97356,                 1.0964,                 1.2963,                0.48691,                0.35521,                0.37129,                0.26739,                 1.2153,                 1.6457,                  1.522,             0.00043045,             0.00043045,             0.00043045
                     17,                0.95371,                 1.0456,                 1.2668,                0.46425,                0.40482,                0.39992,                0.28307,                 1.2626,                  1.703,                 1.5501,             0.00042714,             0.00042714,             0.00042714
                     18,                0.93939,                 1.0147,                 1.2538,                0.47146,                0.37461,                0.38229,                 0.2735,                 1.2502,                 1.6956,                 1.5515,             0.00042364,             0.00042364,             0.00042364
                     19,                0.90696,                0.94415,                 1.2252,                0.50227,                 0.3799,                0.38242,                0.27259,                 1.2194,                 1.6341,                 1.5014,             0.00041994,             0.00041994,             0.00041994
                     20,                0.89196,                 0.9198,                 1.2071,                0.43409,                0.44837,                0.40453,                 0.2975,                 1.1476,                 1.5779,                  1.461,             0.00041605,             0.00041605,             0.00041605
                     21,                0.90318,                0.94305,                 1.2172,                0.48262,                0.39694,                0.40546,                0.29669,                 1.1987,                 1.6032,                   1.51,             0.00041199,             0.00041199,             0.00041199
                     22,                0.85497,                0.90719,                 1.1957,                0.44913,                0.39072,                0.39634,                 0.2875,                 1.1952,                 1.5623,                 1.4897,             0.00040774,             0.00040774,             0.00040774
                     23,                0.83795,                0.85414,                  1.178,                0.50818,                0.39443,                0.40578,                0.29905,                 1.1733,                  1.588,                 1.4854,             0.00040331,             0.00040331,             0.00040331
                     24,                0.83423,                0.85424,                 1.1805,                0.50537,                0.38744,                0.40784,                0.30213,                 1.1729,                 1.5596,                 1.4924,             0.00039872,             0.00039872,             0.00039872
                     25,                0.81943,                0.85353,                 1.1732,                0.52943,                0.39629,                0.41984,                0.31123,                 1.1514,                 1.5712,                 1.4653,             0.00039396,             0.00039396,             0.00039396
                     26,                0.80593,                0.81716,                 1.1551,                0.59602,                0.38015,                0.43146,                0.32033,                 1.1455,                 1.5089,                 1.4452,             0.00038903,             0.00038903,             0.00038903
                     27,                0.78175,                0.77628,                 1.1436,                0.53747,                0.41271,                0.43312,                0.32404,                 1.1116,                 1.4468,                 1.4311,             0.00038395,             0.00038395,             0.00038395
                     28,                0.78126,                0.78086,                  1.137,                0.49778,                0.42466,                0.43205,                0.32491,                 1.0996,                 1.4234,                  1.412,             0.00037872,             0.00037872,             0.00037872
                     29,                  0.765,                 0.7601,                  1.124,                0.53106,                0.42207,                0.43959,                0.32552,                  1.116,                 1.4123,                 1.4317,             0.00037334,             0.00037334,             0.00037334
                     30,                0.75971,                0.75637,                 1.1265,                0.51563,                0.42874,                  0.433,                0.31536,                 1.1573,                 1.4334,                 1.4636,             0.00036782,             0.00036782,             0.00036782
                     31,                0.74248,                0.72463,                 1.1132,                0.57613,                0.37857,                0.43238,                0.32033,                 1.1199,                 1.4859,                 1.4226,             0.00036216,             0.00036216,             0.00036216
                     32,                0.73397,                0.72756,                 1.1085,                0.47468,                0.41559,                0.40101,                0.30398,                 1.1052,                 1.4696,                 1.4157,             0.00035637,             0.00035637,             0.00035637
                     33,                0.73757,                0.72141,                 1.1094,                0.47556,                0.43678,                0.43653,                 0.3265,                 1.1081,                 1.3769,                 1.4101,             0.00035046,             0.00035046,             0.00035046
                     34,                0.72529,                0.71465,                 1.1075,                0.52707,                0.42835,                0.44714,                 0.3344,                 1.0869,                 1.3554,                 1.4023,             0.00034442,             0.00034442,             0.00034442
                     35,                0.71259,                0.69038,                 1.0931,                0.49248,                0.46423,                0.46781,                0.35403,                 1.0615,                 1.3801,                 1.3825,             0.00033828,             0.00033828,             0.00033828
                     36,                0.69838,                0.66759,                 1.0831,                0.58708,                 0.4305,                 0.4753,                0.35598,                 1.0707,                 1.2949,                 1.3821,             0.00033203,             0.00033203,             0.00033203
                     37,                0.69839,                0.68084,                 1.0819,                0.58583,                0.41858,                0.46967,                0.35531,                 1.0588,                 1.3295,                 1.3789,             0.00032567,             0.00032567,             0.00032567
                     38,                0.69614,                0.66198,                 1.0834,                0.56287,                0.40838,                0.45872,                0.34542,                 1.0771,                 1.3508,                 1.4024,             0.00031922,             0.00031922,             0.00031922
                     39,                0.67553,                0.64086,                 1.0661,                0.62492,                0.41732,                0.47597,                0.35666,                 1.0789,                 1.3266,                  1.393,             0.00031269,             0.00031269,             0.00031269
                     40,                0.68213,                0.65388,                 1.0708,                0.56949,                0.43137,                0.45865,                0.34666,                 1.0445,                 1.3808,                  1.361,             0.00030607,             0.00030607,             0.00030607
                     41,                 0.6684,                0.63248,                   1.07,                0.56792,                0.46272,                0.47883,                0.36512,                 1.0579,                  1.301,                 1.3769,             0.00029937,             0.00029937,             0.00029937
                     42,                0.64968,                0.61408,                 1.0562,                0.64268,                 0.4113,                0.46888,                0.35779,                 1.0644,                 1.2883,                 1.3733,             0.00029261,             0.00029261,             0.00029261
                     43,                0.64448,                0.62738,                 1.0518,                0.57267,                0.45572,                 0.4838,                0.36542,                 1.0545,                 1.3256,                 1.3835,             0.00028579,             0.00028579,             0.00028579
                     44,                0.64196,                0.60496,                 1.0477,                0.62364,                0.41729,                0.47305,                0.35631,                 1.0657,                 1.3291,                 1.3925,             0.00027891,             0.00027891,             0.00027891
                     45,                0.64687,                0.60489,                 1.0507,                 0.5841,                0.42231,                0.48226,                0.36643,                 1.0481,                 1.3007,                 1.3805,             0.00027198,             0.00027198,             0.00027198
                     46,                0.63086,                0.59868,                 1.0506,                0.49603,                0.51567,                0.50881,                0.38366,                 1.0487,                 1.2476,                 1.3683,             0.00026501,             0.00026501,             0.00026501
                     47,                0.63051,                0.58262,                 1.0411,                0.53602,                0.48703,                 0.4982,                0.37566,                 1.0521,                 1.2788,                 1.3725,               0.000258,               0.000258,               0.000258
                     48,                 0.6237,                0.57726,                 1.0392,                0.61093,                0.43442,                0.49087,                0.36878,                 1.0357,                 1.2087,                 1.3596,             0.00025097,             0.00025097,             0.00025097
                     49,                0.62808,                0.58113,                 1.0405,                0.61463,                0.44873,                0.49443,                0.37544,                 1.0256,                 1.2509,                 1.3423,             0.00024392,             0.00024392,             0.00024392
                     50,                0.61805,                0.56216,                 1.0353,                0.54333,                0.48337,                0.49487,                0.37315,                 1.0279,                  1.219,                 1.3577,             0.00023685,             0.00023685,             0.00023685
                     51,                0.60998,                0.56401,                 1.0308,                0.59294,                0.44443,                0.49628,                0.37323,                 1.0342,                 1.2361,                 1.3597,             0.00022978,             0.00022978,             0.00022978
                     52,                0.59795,                0.55555,                 1.0247,                0.59475,                0.48517,                 0.5236,                 0.3917,                 1.0269,                 1.1779,                 1.3425,              0.0002227,              0.0002227,              0.0002227
                     53,                0.60079,                0.57653,                 1.0279,                0.59324,                0.47034,                 0.4942,                0.37289,                 1.0421,                 1.2403,                 1.3642,             0.00021563,             0.00021563,             0.00021563
                     54,                0.59081,                0.53437,                 1.0191,                 0.6486,                0.45319,                0.51034,                0.38267,                 1.0233,                 1.2086,                 1.3376,             0.00020858,             0.00020858,             0.00020858
                     55,                0.58751,                0.54395,                 1.0249,                0.56489,                0.49852,                0.51136,                0.38741,                 1.0236,                 1.1786,                 1.3493,             0.00020155,             0.00020155,             0.00020155
                     56,                0.59596,                0.53743,                 1.0155,                0.62148,                0.46036,                 0.5089,                0.38342,                 1.0284,                 1.1941,                  1.348,             0.00019454,             0.00019454,             0.00019454
                     57,                0.57564,                0.52868,                 1.0174,                0.66388,                 0.4568,                0.51295,                0.39131,                 1.0095,                 1.1801,                 1.3312,             0.00018757,             0.00018757,             0.00018757
                     58,                0.59193,                0.52674,                 1.0281,                0.57832,                0.47796,                0.51168,                0.38748,                0.99649,                 1.1356,                 1.3226,             0.00018064,             0.00018064,             0.00018064
                     59,                0.56646,                0.50829,                 1.0077,                0.61442,                0.46073,                0.51371,                0.39356,                 1.0052,                 1.1699,                 1.3223,             0.00017376,             0.00017376,             0.00017376
                     60,                0.56954,                0.51399,                  1.006,                0.66692,                0.45515,                0.51833,                0.39871,                0.98716,                   1.14,                 1.3152,             0.00016694,             0.00016694,             0.00016694
                     61,                0.57615,                0.52199,                 1.0158,                0.62099,                0.48025,                0.53195,                0.40444,                 1.0077,                 1.1238,                 1.3246,             0.00016018,             0.00016018,             0.00016018
                     62,                 0.5579,                0.51057,                 1.0009,                 0.7234,                0.44278,                0.52998,                0.40296,                0.99373,                 1.1534,                  1.314,             0.00015348,             0.00015348,             0.00015348
                     63,                0.55165,                0.49361,                0.99828,                0.61458,                0.49627,                0.53058,                0.40243,                 1.0036,                 1.1393,                 1.3252,             0.00014686,             0.00014686,             0.00014686
                     64,                0.55359,                0.49375,                0.99934,                 0.6174,                0.48283,                0.51993,                0.39437,                 1.0063,                 1.1268,                 1.3313,             0.00014033,             0.00014033,             0.00014033
                     65,                0.54021,                0.48261,                0.98988,                 0.6268,                0.49733,                0.53334,                0.40689,                 1.0045,                 1.1256,                 1.3276,             0.00013388,             0.00013388,             0.00013388
                     66,                 0.5371,                0.48073,                  0.988,                0.61813,                0.48436,                0.53414,                0.41134,                0.98272,                 1.1082,                 1.3012,             0.00012752,             0.00012752,             0.00012752
                     67,                0.52457,                0.46159,                0.98209,                0.56732,                0.50043,                0.51399,                0.39211,                0.99751,                 1.1332,                 1.3133,             0.00012127,             0.00012127,             0.00012127
                     68,                0.52052,                0.45665,                0.98223,                0.68037,                0.47948,                0.53041,                0.40182,                 0.9864,                 1.1001,                 1.3229,             0.00011513,             0.00011513,             0.00011513
                     69,                0.52145,                0.46491,                0.98662,                0.64962,                0.48056,                0.53022,                0.40504,                 1.0087,                 1.1108,                 1.3287,             0.00010909,             0.00010909,             0.00010909
                     70,                0.52594,                0.45635,                0.99199,                0.64476,                0.48868,                 0.5335,                0.40464,                0.99382,                 1.0925,                 1.3288,             0.00010318,             0.00010318,             0.00010318
                     71,                0.51752,                0.45438,                0.98023,                0.62814,                0.49444,                0.53573,                0.40913,                0.99226,                 1.0768,                 1.3149,             9.7391e-05,             9.7391e-05,             9.7391e-05
                     72,                0.50568,                0.43873,                0.97105,                0.60519,                0.50435,                0.53704,                0.40972,                0.98194,                 1.0978,                 1.3111,             9.1733e-05,             9.1733e-05,             9.1733e-05
                     73,                0.51371,                0.44532,                0.97748,                0.63056,                0.50115,                0.54227,                0.41418,                0.98478,                 1.0825,                 1.3217,             8.6211e-05,             8.6211e-05,             8.6211e-05
                     74,                0.49971,                0.43682,                0.96652,                0.58567,                0.51271,                0.53001,                0.40851,                0.98099,                 1.0771,                 1.3164,             8.0831e-05,             8.0831e-05,             8.0831e-05
                     75,                  0.496,                0.42917,                0.97057,                0.68374,                0.45967,                0.53875,                0.41169,                 0.9881,                 1.0782,                   1.32,             7.5598e-05,             7.5598e-05,             7.5598e-05
                     76,                0.49381,                0.43008,                0.97042,                 0.6072,                0.49699,                0.53213,                0.40778,                 0.9782,                 1.0587,                 1.3129,             7.0517e-05,             7.0517e-05,             7.0517e-05
                     77,                0.49632,                0.42442,                0.96696,                0.65524,                0.49219,                0.54438,                0.41773,                0.97744,                 1.0447,                 1.3065,             6.5593e-05,             6.5593e-05,             6.5593e-05
                     78,                0.49461,                0.43168,                0.97067,                0.68493,                0.47793,                0.54954,                 0.4202,                0.97332,                  1.042,                 1.3055,             6.0831e-05,             6.0831e-05,             6.0831e-05
                     79,                0.48228,                0.41507,                 0.9647,                0.66209,                0.50227,                0.54731,                0.41879,                0.97575,                 1.0463,                 1.3102,             5.6236e-05,             5.6236e-05,             5.6236e-05
                     80,                 0.4835,                0.41656,                 0.9614,                0.63114,                0.51297,                0.54716,                0.42138,                0.96918,                 1.0456,                 1.2998,             5.1812e-05,             5.1812e-05,             5.1812e-05
                     81,                0.49139,                0.42382,                0.96592,                0.67838,                0.47625,                0.54609,                0.41987,                0.97425,                 1.0498,                  1.304,             4.7564e-05,             4.7564e-05,             4.7564e-05
                     82,                0.48571,                0.42051,                0.96512,                0.69548,                0.47123,                0.55261,                 0.4242,                0.96249,                 1.0489,                 1.2976,             4.3496e-05,             4.3496e-05,             4.3496e-05
